Substation,Feeder,Asset type,Asset ID,Amps A,Amps B,Amps C,% OL A,% OL B,% OL C,Rating A,Rating B,Rating C
tyn202,tyn202_sw,Line,tyn202_w_5_102_abc14460,178.8468455126688,55.61529891025061,45.655327845340686,159.6846834934543,49.65651688415233,40.76368557619704,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_103_abc14461,178.8469772982015,55.614963551223944,45.654837492235075,159.68480115910847,49.65621745644995,40.76324776092417,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_035_abc14462,178.8471840146633,55.614435995566915,44.22103468668552,159.68498572737795,49.65574642461332,39.48306668454064,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_036_abc89539,190.70287681658021,48.88647855595014,15.682648085998785,170.27042572908948,43.648641567812625,14.002364362498914,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_037_abc89534,190.70316277288416,48.88673213333021,15.682822244678222,170.27068104721798,43.64886797618769,14.002519861319843,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_038_abc89532,190.7034318611348,48.886971143735266,15.682986367110011,170.27092130458465,43.64908137833506,14.002666399205369,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_104_abc33484,190.70376086704567,48.8872638920509,15.683187348109172,170.27121505986221,43.64934276075974,14.002845846526046,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_106_abc33468,190.70417956750595,48.887637277830024,15.683443622544912,170.27158889955888,43.64967614091967,14.003074662986528,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5_043_abc33462,187.33048579016761,45.39764530410466,12.54737631941579,167.25936231264967,40.53361187866487,11.203014570906955,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_5p066_a1169605,180.60162208636189,0,0,120.40108139090793,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_5p067_a1169607,173.87737016777834,0,0,115.91824677851889,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_5p068_a1169581,167.15866378600305,0,0,111.4391091906687,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_5p069_a1169583,153.73047878204608,0,0,102.48698585469738,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_8_094_abc41186,101.1820465549578,137.3587880413178,74.33143775519945,90.34111299549804,122.6417750368909,66.36735513857094,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_122_abc41185,101.18261404387194,137.35929483725496,68.14609001178178,90.34161968202852,122.64222753326337,60.844723224805165,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_123_abc41192,101.18317513058653,137.3597958544829,49.57824926751656,90.3421206523094,122.64267487007403,44.26629398885407,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_124_abc80952,101.18379291293274,126.76738334757601,49.57864305989701,90.34267224368995,113.18516370319287,44.26664558919376,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_125_abc80953,101.18423701727127,126.76778025592789,43.38551208766903,90.34306876542078,113.18551808564989,38.7370643639902,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_126_abc75437,101.18468327544122,126.76817915493145,37.19100912448364,90.34346721021537,113.18587424547451,33.20625814686039,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_127_abc75436,101.18510980908646,126.7685604991683,37.19128205017952,90.3438480438272,113.18621473140027,33.206501830517425,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_128_abc75433,87.18465897383784,126.76894631331956,37.19155854694123,77.84344551235522,113.18655920832103,33.2067487026261,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_134_abc75430,41.776086924131846,126.76932925405625,37.19183336770255,37.300077610832005,113.18690111969308,33.20699407830585,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_135_abc75429,41.776533055170184,126.76972874533817,37.19212053125289,37.300475942116236,113.18725780833765,33.20725047433294,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_309_abc75428,41.7769163824627,112.5685914901455,37.19236750158116,37.30081819862741,100.50767097334419,33.20747098355461,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_164_abc75427,41.777291348196535,112.56892702381059,37.19260927752368,37.30115298946119,100.50797055697373,33.20768685493186,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_129_abc64903,27.835408139003807,112.5694102365427,24.791720578334235,24.8530429812534,100.50840199691311,22.13546480208414,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_130_abc29625,27.835991166336594,112.56993144376246,24.79209748229319,24.853563541371958,100.5088673605022,22.135801323476063,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_168_abc29626,27.83667676573411,112.57054361684304,24.79254133302557,24.85417568369117,100.50941394360986,22.136197618772833,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_9p004_c1169660,0,0,181.3922454987894,0,0,120.92816366585961,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9p001_c1169658,0,0,204.8784356767589,0,0,136.58562378450594,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9_101_abc75434,835.3444256877344,776.7834262563566,1019.7096975004121,186.46080930529786,173.38915764650818,227.61377176348483,448,448,448
tyn202,tyn202_sw,Line,tyn202_w_9_378_abc75438,163.6318807682504,355.70547388742847,153.54741220993859,75.75550035567147,164.67846013306874,71.0867649120086,216,216,216
tyn202,tyn202_sw,Line,tyn202_w_9_379_abc64912,163.6322275298999,345.4113456913978,153.54762380505457,75.75566089347218,159.9126600423138,71.08686287271046,216,216,216
tyn202,tyn202_sw,Line,tyn202_w_9p011_b1187353,0,173.0909387135722,0,0,115.39395914238146,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9p010_b1187354,0,173.09768297929736,0,0,115.39845531953156,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9_438_a16701,163.64717165119995,0,0,109.09811443413331,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_9p038_a1169618,163.65363745295218,0,0,109.10242496863478,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_9_380_c1169654,0,0,153.5485787649685,0,0,102.36571917664567,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9p005_b1169645,0,172.32165294033624,0,0,114.88110196022416,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9_100_abc108913,671.748377164348,421.50917616423646,866.1729025083363,149.94383418847053,94.08686967951706,193.3421657384679,448,448,448
tyn202,tyn202_sw,Line,tyn202_w_9_099_abc64904,668.1385098269476,421.50979954699676,866.1734141548375,200.04147000806816,126.20053878652597,259.3333575313885,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_9p066_c1169717,0,0,155.01778093555598,0,0,103.34518729037066,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9_048_abc86108,664.5183509520016,421.51066836201704,574.8689620126602,198.9575901053897,126.20079891078355,172.11645569241324,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_141_abc16722,649.9826013589463,418.0799564740322,565.5638579919439,194.6055692691456,125.17363966288389,169.3304964047736,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_140_abc16723,649.9836684054013,418.08063990693785,565.5643928711668,194.60588874413213,125.17384428351433,169.33065654825353,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_104_abc29631,646.3303964895298,414.64651829965476,562.4469248965734,193.51209475734424,124.1456641615733,168.39728290316566,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_484_abc29630,646.3310040065169,414.6469074522168,562.44722737226,193.51227664865775,124.14578067431641,168.3973734647485,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_103_abc53884,642.6604867794116,414.6473343625357,562.4475579384115,192.4133193950334,124.14590849177716,168.39747243665016,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_102_abc53881,642.661313772099,414.64786526050284,559.311545105355,192.41356699763443,124.14606744326433,167.45854643872903,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_101_abc53820,635.2812600365343,407.7749269519906,553.0862692516945,190.20397007081863,122.08830148263192,165.5946913927229,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_100_abc53819,631.5696453456786,404.3299304155954,549.9775502382283,189.09270818732892,121.05686539389085,164.66393719707435,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_099_abc71114,598.3425688317549,335.2900124154727,448.56013245324414,179.14448168615417,100.38623126211756,134.2994408542647,334,334,334
