"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
3609, 1690.76872287669, 359.001527173521, 3318.2544453335, 3661.2341360252, 23.0440582785665, 65.8563227318028, 96.7095654363939
3610, 1843.84643472324, 467.743528901956, 3318.2544453335, 3661.2341360252, 27.6519694219991, 79.3614798603537, 96.7095654363939
3611, 1921.59270383359, 523.455950119813, 3318.2544453335, 3661.2341360252, 30.1988964857996, 86.8276588946932, 96.7095654363939
3612, 1945.95732874895, 540.969012890426, 3318.2544453335, 3661.2341360252, 31.0254575582483, 89.2505833289829, 96.7095654363939
3613, 1957.85833587267, 549.549670037002, 3318.2544453335, 3661.2341360252, 31.4346930349292, 90.4505469129269, 96.7095654363939
3614, 1920.88378533354, 522.952750750583, 3318.2544453335, 3661.2341360252, 30.1752461026351, 86.7584941123115, 96.7095654363939
3615, 1913.49714506736, 517.648838526824, 3318.2544453335, 3661.2341360252, 29.9274679466044, 86.0321714360701, 96.7095654363939
3616, 1913.22274210637, 517.447151135078, 3318.2544453335, 3661.2341360252, 29.9181318546359, 86.0046949318993, 96.7095654363939
3617, 1963.57133105467, 553.672912842678, 3318.2544453335, 3661.2341360252, 31.6323615253643, 91.0301803311607, 96.7095654363939
3618, 2043.59908776256, 611.538098665007, 3318.2544453335, 3661.2341360252, 34.4787901962344, 99.3758265185186, 96.7095654363939
3619, 2077.72093517349, 636.32086023395, 3318.2544453335, 3661.2341360252, 35.7381934483068, 103.068807681544, 96.7095654363939
3620, 2074.53228935084, 634.008039641159, 3318.2544453335, 3661.2341360252, 35.6195334844248, 102.720974285765, 96.7095654363939
3621, 2247.94103410163, 753.12936824632, 3318.2544453335, 3661.2341360252, 41.9400136457017, 121.215206688405, 96.7095654363939
3622, 2295.13287868955, 787.891887025043, 3318.2544453335, 3661.2341360252, 43.8913456476246, 126.93741103859, 96.7095654363939
3623, 2055.01542129476, 612.259294920184, 3318.2544453335, 3661.2341360252, 34.5011140821613, 99.4022566250591, 96.7095654363939
3624, 1768.84397901695, 406.990628347794, 3318.2544453335, 3661.2341360252, 25.0541027216692, 71.7119413525606, 96.7095654363939
3625, 1563.67950586709, 266.88716465949, 3318.2544453335, 3661.2341360252, 19.5304817907671, 55.5452351895387, 96.7095654363939
3626, 1464.37336702236, 200.448171517973, 3318.2544453335, 3661.2341360252, 17.2054632431865, 48.7495287169768, 96.7095654363939
3627, 1405.89922644946, 159.926377534742, 3318.2544453335, 3661.2341360252, 15.8847454480827, 44.8807197857649, 96.7095654363939
3628, 1393.88317498837, 151.620302865357, 3318.2544453335, 3661.2341360252, 15.622808146474, 44.1135219613815, 96.7095654363939
3629, 1421.54025469226, 170.750604684027, 3318.2544453335, 3661.2341360252, 16.2303658990748, 45.8928413292125, 96.7095654363939
3630, 1546.0247446883, 257.32126015941, 3318.2544453335, 3661.2341360252, 19.1780421923238, 54.528322594995, 96.7095654363939
3631, 1832.46701005507, 459.611713143826, 3318.2544453335, 3661.2341360252, 27.2907310012443, 78.3024455904128, 96.7095654363939
3632, 2108.79239012708, 658.920639048985, 3318.2544453335, 3661.2341360252, 36.9080724652882, 106.498930552253, 96.7095654363939
3633, 2216.06667514868, 734.423113150913, 3318.2544453335, 3661.2341360252, 40.9066908587685, 118.214811418778, 96.7095654363939
3634, 2300.68797094731, 792.004802108908, 3318.2544453335, 3661.2341360252, 44.1250356221529, 127.624220383103, 96.7095654363939
3635, 2343.25371286964, 823.469242922197, 3318.2544453335, 3661.2341360252, 45.9367577585354, 132.936847157595, 96.7095654363939
3636, 2361.99796628225, 837.359236730793, 3318.2544453335, 3661.2341360252, 46.7476934286535, 135.315181051728, 96.7095654363939
3637, 2361.15387099847, 836.737579805887, 3318.2544453335, 3661.2341360252, 46.7119173398729, 135.210795601645, 96.7095654363939
3638, 2364.34904925099, 839.10672630062, 3318.2544453335, 3661.2341360252, 46.8508452754997, 135.618208149764, 96.7095654363939
3639, 2360.43283599239, 836.203571603554, 3318.2544453335, 3661.2341360252, 46.6807078403322, 135.119341521312, 96.7095654363939
3640, 2344.88873484807, 824.684517380695, 3318.2544453335, 3661.2341360252, 46.0081786249266, 133.14695274979, 96.7095654363939
3641, 2320.64140072605, 806.739646200053, 3318.2544453335, 3661.2341360252, 44.9700851483246, 130.102268870272, 96.7095654363939
3642, 2350.45756531117, 828.806659082415, 3318.2544453335, 3661.2341360252, 46.2477610886963, 133.849148824861, 96.7095654363939
3643, 2357.61933230063, 834.114827919316, 3318.2544453335, 3661.2341360252, 46.5579154399007, 134.758835442964, 96.7095654363939
3644, 2317.01527555029, 804.056772580353, 3318.2544453335, 3661.2341360252, 44.8150721434786, 129.647081670284, 96.7095654363939
3645, 2445.55892601055, 896.463049074332, 3318.2544453335, 3661.2341360252, 50.3439309745738, 145.865597516085, 96.7095654363939
3646, 2448.47812604751, 898.642118575001, 3318.2544453335, 3661.2341360252, 50.4767730284253, 146.255282193769, 96.7095654363939
3647, 2128.52827129527, 662.73372042002, 3318.2544453335, 3661.2341360252, 37.1441837515874, 107.152759366698, 96.7095654363939
3648, 1798.10412336048, 424.924724478919, 3318.2544453335, 3661.2341360252, 25.8773378537604, 74.1264014566214, 96.7095654363939
3649, 1595.85153473865, 286.589884129493, 3318.2544453335, 3661.2341360252, 20.3164229177673, 57.8507260421252, 96.7095654363939
3650, 1496.08432968306, 222.49659489887, 3318.2544453335, 3661.2341360252, 17.9537839014168, 50.941777805435, 96.7095654363939
3651, 1437.60565217332, 181.87506053765, 3318.2544453335, 3661.2341360252, 16.5915148753573, 46.9510345739073, 96.7095654363939
3652, 1419.70538408388, 169.474612210119, 3318.2544453335, 3661.2341360252, 16.189856169484, 45.7745709519434, 96.7095654363939
3653, 1446.36595900745, 187.951974823811, 3318.2544453335, 3661.2341360252, 16.7905011942473, 47.5336522925071, 96.7095654363939
3654, 1552.67041885058, 261.966158697804, 3318.2544453335, 3661.2341360252, 19.345185850514, 55.0180390256579, 96.7095654363939
3655, 1838.87761060521, 464.189486112759, 3318.2544453335, 3661.2341360252, 27.4937530241847, 78.8975281292681, 96.7095654363939
3656, 2112.00555745132, 661.263460777424, 3318.2544453335, 3661.2341360252, 37.0304138925517, 106.857689221479, 96.7095654363939
3657, 2195.26585026107, 719.16106684413, 3318.2544453335, 3661.2341360252, 40.0725339057557, 115.768085416718, 96.7095654363939
3658, 2272.41738533988, 771.15389206923, 3318.2544453335, 3661.2341360252, 42.9452352820914, 124.163861478179, 96.7095654363939
3659, 2320.92432076754, 806.944305121068, 3318.2544453335, 3661.2341360252, 44.9807757218767, 130.132762951937, 96.7095654363939
3660, 2301.99713542861, 792.96297975799, 3318.2544453335, 3661.2341360252, 44.1808118044235, 127.787103808002, 96.7095654363939
3661, 2357.38759379907, 833.942361510973, 3318.2544453335, 3661.2341360252, 46.5479134692347, 134.729480104899, 96.7095654363939
3662, 2357.67139315467, 834.154889176543, 3318.2544453335, 3661.2341360252, 46.5605093356935, 134.766639661994, 96.7095654363939
3663, 2349.79240955748, 828.316739468808, 3318.2544453335, 3661.2341360252, 46.2195307719208, 133.766684692263, 96.7095654363939
3664, 2313.29159504619, 801.304631918674, 3318.2544453335, 3661.2341360252, 44.6571305744644, 129.183805916892, 96.7095654363939
3665, 2315.48358204898, 802.923228363891, 3318.2544453335, 3661.2341360252, 44.7497783170159, 129.455350724466, 96.7095654363939
3666, 2336.9221844785, 818.777367311862, 3318.2544453335, 3661.2341360252, 45.6637019088721, 132.135485791794, 96.7095654363939
3667, 2341.51224055315, 822.179664662797, 3318.2544453335, 3661.2341360252, 45.8617735281145, 132.716935736382, 96.7095654363939
3668, 2376.50890531756, 848.130608387216, 3318.2544453335, 3661.2341360252, 47.3824968215024, 137.177686933498, 96.7095654363939
3669, 2502.21859731633, 938.821105050445, 3318.2544453335, 3661.2341360252, 52.9545833974424, 153.524624799253, 96.7095654363939
3670, 2470.89018575837, 915.380511422689, 3318.2544453335, 3661.2341360252, 51.5021833165636, 149.263772628329, 96.7095654363939
